P1,P2,P3,NF
44,64,57,51.97
42,60,70,60.46
40,55,44,40.59
55,47,77,54.86
40,30,50,43.8
17,30,65,36.81
21,30,80,49.68
37,50,80,62.96
11,70,77,55.45
24,42,70,46.56
15,50,30,33.5
44,45,60,50.17
37,40,55,39.01
29,80,75,66.57
69,55,89,73.26
26,50,70,52.88
53,55,70,63.59
46,30,74,45.72
40,35,54,47.29
16,50,52,43.7
41,20,76,50.94
32,50,90,58.16
35,40,60,40.7
59,80,80,72.02
40,40,69,48.29
38,40,80,53.44
22,50,65,45.11
73,70,57,58.41
44,55,70,58.97
57,60,68,63.34
28,50,33,36.07
38,50,75,58.09
45,60,60,49.9
34,50,79,56.01
46,60,59,52.67
17,25,70,40.01
48,60,52,51.16
74,58,68,60.66
55,55,90,69.15
64,40,78,54.3
30,55,89,66.24
43,27,100,61.73
54,70,90,70.52
43,45,90,66.29
69,75,90,79.07
69,100,95,88.37
65,65,60,58.35
84,70,80,73.82
56,90,95,85.33
58,75,100,75.19
36,42,55,46.57
70,50,90,73
35,60,85,61.35
79,70,90,81.02
62,80,95,77.71
60,51,55,47.22
47,57,95,73.5
78,45,90,65.59
32,70,40,53.06
94,39,70,59.05
62,59,80,67.79
66,25,90,56.03
32,44,90,54.94
74,70,90,71.12
90,60,80,70.2
31,50,55,44.63
31,50,55,46.63
43,58,77,61.77
26,35,43,36.26
33,18,68,42.48
37,16,31,29.29
67,77,84,70.99
34,78,79,63.37
75,45,100,70.15
55,50,68,52.28
30,48,100,67.16
45,38,65,49.81
62,29,50,47.39
45,15,40,32.05
49,16,74,48.08
58,56,100,72.16
55,21,89,52.16
40,68,88,63.44
45,25,76,53.51
83,27,55,49.48
95,100,93,92.23
10,10,57,23.87
40,33,86,54.67
74,77,88,78.89
20,55,35,34.3
79,22,82,50.98
35,22,40,27.84
52,15,73,48.84
65,47,51,47
22,50,100,60.46
83,45,74,56.93
39,65,90,67.97
55,27,83,57.92
83,37,59,52.82
55,75,90,73.55
12,16,91,47.39
47,70,88,71.44
67,18,85,54.57
60,48,100,65.56
62,35,82,57.73
57,57,35,41.7
23,10,64,31.08
62,80,98,76.94
20,16,92,45.24
75,52,98,72.92
47,100,50,62.96
44,23,90,54.33
15,16,87,42.29
57,57,69,64.64
75,20,73,53.83
40,25,76,51.61
48,55,95,71.94
36,50,66,52.04
22,33,35,31.52
62,55,68,58.39
45,27,67,43.56
48,25,66,40.95
52,42,90,62.8
92,90,70,77.56
40,35,16,23.71
30,92,39,56.43
36,73,54,59.63
25,79,57,54.1
40,82,85,77.39
43,50,24,31.08
54,71,75,67.74
14,68,50,43.18
36,65,59,59.72
28,77,87,70.2
43,57,42,45.05
54,25,23,27.4
49,90,26,49.78
69,65,47,59.74
45,97,80,74.79
38,100,72,76.36
21,59,65,56.26
55,65,70,63.65
31,72,63,55.05
40,76,91,74.63
35,69,71,57.94
11,54,52,43.28
70,80,65,68.85
25,100,89,72.99
26,54,37,36.83
25,38,95,55.51
61,75,66,61.79
49,69,42,48.57
28,46,72,53.58
51,37,71,47.98
97,99,78,90.07
40,82,62,60.96
62,40,69,59.25
48,83,66,67.41
73,70,59,67.23
47,70,60,62.96
68,64,78,65.9
42,85,74,65.35
64,96,57,75.41
19,64,90,66
40,63,55,49.06
71,90,52,68.4
48,22,70,40.48
47,67,85,73.1
16,58,70,54.04
50,80,74,73.94
60,95,81,84.16
57,58,50,54.22
40,37,65,47.54
38,74,74,64.56
59,67,58,58.19
59,95,72,73.29
57,69,64,62.03
49,59,55,54.2
38,30,75,52.69
43,42,26,37.94
27,87,70,70.75
29,100,86,81.48
77,67,97,74.42
52,92,32,60.52
30,95,65,67.2
50,82,81,67.55
35,94,33,58.61
18,96,82,75.38
74,70,92,80.94
33,95,87,76.76
64,74,90,73.8
55,67,64,58.93
59,55,77,66.54
60,100,69,77.09
59,70,88,72.6
53,45,44,39.23
30,95,64,65.79
56,96,46,67.46
61,33,59,46.38
52,64,78,67.02
46,65,45,45.78
53,72,47,50.45
57,91,71,72.04
50,81,66,65.03
31,91,81,67.46
51,98,91,84.75
